,Description
KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea.train.out.0,"This is a time series from dataset IOPS, a dataset with performance indicators that reflect the scale, quality of web services, and health status of a machine. The length of the series is 128. There is no anomaly in this series."
KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea.train.out.1,"This is a time series from dataset IOPS, a dataset with performance indicators that reflect the scale, quality of web services, and health status of a machine. The length of the series is 128. There is no anomaly in this series."
KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea.train.out.2,"This is a time series from dataset IOPS, a dataset with performance indicators that reflect the scale, quality of web services, and health status of a machine. The length of the series is 128. There is no anomaly in this series."
KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea.train.out.3,"This is a time series from dataset IOPS, a dataset with performance indicators that reflect the scale, quality of web services, and health status of a machine. The length of the series is 128. There is 1 anomaly in this series. The length of the anomaly is 5."
KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea.train.out.4,"This is a time series from dataset IOPS, a dataset with performance indicators that reflect the scale, quality of web services, and health status of a machine. The length of the series is 128. There is no anomaly in this series."
KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea.train.out.5,"This is a time series from dataset IOPS, a dataset with performance indicators that reflect the scale, quality of web services, and health status of a machine. The length of the series is 128. There is 1 anomaly in this series. The length of the anomaly is 6."
KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea.train.out.6,"This is a time series from dataset IOPS, a dataset with performance indicators that reflect the scale, quality of web services, and health status of a machine. The length of the series is 128. There is no anomaly in this series."
KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea.train.out.7,"This is a time series from dataset IOPS, a dataset with performance indicators that reflect the scale, quality of web services, and health status of a machine. The length of the series is 128. There is no anomaly in this series."
KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea.train.out.8,"This is a time series from dataset IOPS, a dataset with performance indicators that reflect the scale, quality of web services, and health status of a machine. The length of the series is 128. There is no anomaly in this series."
KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea.train.out.9,"This is a time series from dataset IOPS, a dataset with performance indicators that reflect the scale, quality of web services, and health status of a machine. The length of the series is 128. There is no anomaly in this series."
KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea.train.out.10,"This is a time series from dataset IOPS, a dataset with performance indicators that reflect the scale, quality of web services, and health status of a machine. The length of the series is 128. There is no anomaly in this series."
KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea.train.out.11,"This is a time series from dataset IOPS, a dataset with performance indicators that reflect the scale, quality of web services, and health status of a machine. The length of the series is 128. There is 1 anomaly in this series. The length of the anomaly is 3."
