,Description
KPI-da10a69f-d836-3baa-ad40-3e548ecf1fbd.train.out.0,"This is a time series from dataset IOPS, a dataset with performance indicators that reflect the scale, quality of web services, and health status of a machine. The length of the series is 128. There is no anomaly in this series."
KPI-da10a69f-d836-3baa-ad40-3e548ecf1fbd.train.out.1,"This is a time series from dataset IOPS, a dataset with performance indicators that reflect the scale, quality of web services, and health status of a machine. The length of the series is 128. There is no anomaly in this series."
KPI-da10a69f-d836-3baa-ad40-3e548ecf1fbd.train.out.2,"This is a time series from dataset IOPS, a dataset with performance indicators that reflect the scale, quality of web services, and health status of a machine. The length of the series is 128. There is no anomaly in this series."
KPI-da10a69f-d836-3baa-ad40-3e548ecf1fbd.train.out.3,"This is a time series from dataset IOPS, a dataset with performance indicators that reflect the scale, quality of web services, and health status of a machine. The length of the series is 128. There is no anomaly in this series."
KPI-da10a69f-d836-3baa-ad40-3e548ecf1fbd.train.out.4,"This is a time series from dataset IOPS, a dataset with performance indicators that reflect the scale, quality of web services, and health status of a machine. The length of the series is 128. There is no anomaly in this series."
KPI-da10a69f-d836-3baa-ad40-3e548ecf1fbd.train.out.5,"This is a time series from dataset IOPS, a dataset with performance indicators that reflect the scale, quality of web services, and health status of a machine. The length of the series is 128. There is no anomaly in this series."
KPI-da10a69f-d836-3baa-ad40-3e548ecf1fbd.train.out.6,"This is a time series from dataset IOPS, a dataset with performance indicators that reflect the scale, quality of web services, and health status of a machine. The length of the series is 128. There is no anomaly in this series."
KPI-da10a69f-d836-3baa-ad40-3e548ecf1fbd.train.out.7,"This is a time series from dataset IOPS, a dataset with performance indicators that reflect the scale, quality of web services, and health status of a machine. The length of the series is 128. There is no anomaly in this series."
KPI-da10a69f-d836-3baa-ad40-3e548ecf1fbd.train.out.8,"This is a time series from dataset IOPS, a dataset with performance indicators that reflect the scale, quality of web services, and health status of a machine. The length of the series is 128. There is no anomaly in this series."
KPI-da10a69f-d836-3baa-ad40-3e548ecf1fbd.train.out.9,"This is a time series from dataset IOPS, a dataset with performance indicators that reflect the scale, quality of web services, and health status of a machine. The length of the series is 128. There is no anomaly in this series."
KPI-da10a69f-d836-3baa-ad40-3e548ecf1fbd.train.out.10,"This is a time series from dataset IOPS, a dataset with performance indicators that reflect the scale, quality of web services, and health status of a machine. The length of the series is 128. There is no anomaly in this series."
KPI-da10a69f-d836-3baa-ad40-3e548ecf1fbd.train.out.11,"This is a time series from dataset IOPS, a dataset with performance indicators that reflect the scale, quality of web services, and health status of a machine. The length of the series is 128. There is no anomaly in this series."
KPI-da10a69f-d836-3baa-ad40-3e548ecf1fbd.train.out.12,"This is a time series from dataset IOPS, a dataset with performance indicators that reflect the scale, quality of web services, and health status of a machine. The length of the series is 128. There is no anomaly in this series."
KPI-da10a69f-d836-3baa-ad40-3e548ecf1fbd.train.out.13,"This is a time series from dataset IOPS, a dataset with performance indicators that reflect the scale, quality of web services, and health status of a machine. The length of the series is 128. There is no anomaly in this series."
KPI-da10a69f-d836-3baa-ad40-3e548ecf1fbd.train.out.14,"This is a time series from dataset IOPS, a dataset with performance indicators that reflect the scale, quality of web services, and health status of a machine. The length of the series is 128. There is no anomaly in this series."
KPI-da10a69f-d836-3baa-ad40-3e548ecf1fbd.train.out.15,"This is a time series from dataset IOPS, a dataset with performance indicators that reflect the scale, quality of web services, and health status of a machine. The length of the series is 128. There is no anomaly in this series."
KPI-da10a69f-d836-3baa-ad40-3e548ecf1fbd.train.out.16,"This is a time series from dataset IOPS, a dataset with performance indicators that reflect the scale, quality of web services, and health status of a machine. The length of the series is 128. There is 1 anomaly in this series. The length of the anomaly is 43."
KPI-da10a69f-d836-3baa-ad40-3e548ecf1fbd.train.out.17,"This is a time series from dataset IOPS, a dataset with performance indicators that reflect the scale, quality of web services, and health status of a machine. The length of the series is 128. There is no anomaly in this series."
KPI-da10a69f-d836-3baa-ad40-3e548ecf1fbd.train.out.18,"This is a time series from dataset IOPS, a dataset with performance indicators that reflect the scale, quality of web services, and health status of a machine. The length of the series is 128. There is no anomaly in this series."
KPI-da10a69f-d836-3baa-ad40-3e548ecf1fbd.train.out.19,"This is a time series from dataset IOPS, a dataset with performance indicators that reflect the scale, quality of web services, and health status of a machine. The length of the series is 128. There is no anomaly in this series."
KPI-da10a69f-d836-3baa-ad40-3e548ecf1fbd.train.out.20,"This is a time series from dataset IOPS, a dataset with performance indicators that reflect the scale, quality of web services, and health status of a machine. The length of the series is 128. There is no anomaly in this series."
KPI-da10a69f-d836-3baa-ad40-3e548ecf1fbd.train.out.21,"This is a time series from dataset IOPS, a dataset with performance indicators that reflect the scale, quality of web services, and health status of a machine. The length of the series is 128. There is no anomaly in this series."
KPI-da10a69f-d836-3baa-ad40-3e548ecf1fbd.train.out.22,"This is a time series from dataset IOPS, a dataset with performance indicators that reflect the scale, quality of web services, and health status of a machine. The length of the series is 128. There is no anomaly in this series."
KPI-da10a69f-d836-3baa-ad40-3e548ecf1fbd.train.out.23,"This is a time series from dataset IOPS, a dataset with performance indicators that reflect the scale, quality of web services, and health status of a machine. The length of the series is 128. There is no anomaly in this series."
KPI-da10a69f-d836-3baa-ad40-3e548ecf1fbd.train.out.24,"This is a time series from dataset IOPS, a dataset with performance indicators that reflect the scale, quality of web services, and health status of a machine. The length of the series is 128. There is no anomaly in this series."
