,Description
033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370.out.0,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370.out.1,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370.out.2,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370.out.3,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370.out.4,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370.out.5,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370.out.6,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370.out.7,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370.out.8,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370.out.9,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370.out.10,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370.out.11,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370.out.12,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370.out.13,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370.out.14,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370.out.15,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370.out.16,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370.out.17,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370.out.18,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370.out.19,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370.out.20,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370.out.21,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
