,Description
058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308.out.0,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308.out.1,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308.out.2,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308.out.3,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308.out.4,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308.out.5,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308.out.6,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308.out.7,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308.out.8,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308.out.9,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308.out.10,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308.out.11,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308.out.12,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308.out.13,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308.out.14,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308.out.15,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308.out.16,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308.out.17,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308.out.18,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308.out.19,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308.out.20,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308.out.21,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308.out.22,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308.out.23,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
