,Description
073_UCR_Anomaly_DISTORTEDpark3m_60000_72150_72495.out.0,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
073_UCR_Anomaly_DISTORTEDpark3m_60000_72150_72495.out.1,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
073_UCR_Anomaly_DISTORTEDpark3m_60000_72150_72495.out.2,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
073_UCR_Anomaly_DISTORTEDpark3m_60000_72150_72495.out.3,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
073_UCR_Anomaly_DISTORTEDpark3m_60000_72150_72495.out.4,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
073_UCR_Anomaly_DISTORTEDpark3m_60000_72150_72495.out.5,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
073_UCR_Anomaly_DISTORTEDpark3m_60000_72150_72495.out.6,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
073_UCR_Anomaly_DISTORTEDpark3m_60000_72150_72495.out.7,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
073_UCR_Anomaly_DISTORTEDpark3m_60000_72150_72495.out.8,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
073_UCR_Anomaly_DISTORTEDpark3m_60000_72150_72495.out.9,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
