,Description
088_UCR_Anomaly_DISTORTEDsel840mECG2_20000_49370_49740.out.0,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
088_UCR_Anomaly_DISTORTEDsel840mECG2_20000_49370_49740.out.1,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
088_UCR_Anomaly_DISTORTEDsel840mECG2_20000_49370_49740.out.2,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
088_UCR_Anomaly_DISTORTEDsel840mECG2_20000_49370_49740.out.3,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
088_UCR_Anomaly_DISTORTEDsel840mECG2_20000_49370_49740.out.4,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
088_UCR_Anomaly_DISTORTEDsel840mECG2_20000_49370_49740.out.5,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
088_UCR_Anomaly_DISTORTEDsel840mECG2_20000_49370_49740.out.6,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
088_UCR_Anomaly_DISTORTEDsel840mECG2_20000_49370_49740.out.7,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
088_UCR_Anomaly_DISTORTEDsel840mECG2_20000_49370_49740.out.8,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
088_UCR_Anomaly_DISTORTEDsel840mECG2_20000_49370_49740.out.9,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
088_UCR_Anomaly_DISTORTEDsel840mECG2_20000_49370_49740.out.10,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
088_UCR_Anomaly_DISTORTEDsel840mECG2_20000_49370_49740.out.11,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
088_UCR_Anomaly_DISTORTEDsel840mECG2_20000_49370_49740.out.12,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
088_UCR_Anomaly_DISTORTEDsel840mECG2_20000_49370_49740.out.13,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
