,Description
092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996.out.0,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996.out.1,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996.out.2,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996.out.3,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996.out.4,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996.out.5,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996.out.6,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996.out.7,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996.out.8,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996.out.9,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996.out.10,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996.out.11,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996.out.12,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996.out.13,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996.out.14,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996.out.15,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996.out.16,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996.out.17,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996.out.18,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996.out.19,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996.out.20,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996.out.21,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996.out.22,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996.out.23,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996.out.24,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996.out.25,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996.out.26,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996.out.27,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996.out.28,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996.out.29,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996.out.30,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996.out.31,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996.out.32,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996.out.33,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996.out.34,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996.out.35,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996.out.36,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996.out.37,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996.out.38,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996.out.39,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996.out.40,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996.out.41,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
