,Description
107_UCR_Anomaly_NOISEinsectEPG3_5200_7000_7050.out.0,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
107_UCR_Anomaly_NOISEinsectEPG3_5200_7000_7050.out.1,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
107_UCR_Anomaly_NOISEinsectEPG3_5200_7000_7050.out.2,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
107_UCR_Anomaly_NOISEinsectEPG3_5200_7000_7050.out.3,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
107_UCR_Anomaly_NOISEinsectEPG3_5200_7000_7050.out.4,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
107_UCR_Anomaly_NOISEinsectEPG3_5200_7000_7050.out.5,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
107_UCR_Anomaly_NOISEinsectEPG3_5200_7000_7050.out.6,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
107_UCR_Anomaly_NOISEinsectEPG3_5200_7000_7050.out.7,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
107_UCR_Anomaly_NOISEinsectEPG3_5200_7000_7050.out.8,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
107_UCR_Anomaly_NOISEinsectEPG3_5200_7000_7050.out.9,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
107_UCR_Anomaly_NOISEinsectEPG3_5200_7000_7050.out.10,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
107_UCR_Anomaly_NOISEinsectEPG3_5200_7000_7050.out.11,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
107_UCR_Anomaly_NOISEinsectEPG3_5200_7000_7050.out.12,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
107_UCR_Anomaly_NOISEinsectEPG3_5200_7000_7050.out.13,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
107_UCR_Anomaly_NOISEinsectEPG3_5200_7000_7050.out.14,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
107_UCR_Anomaly_NOISEinsectEPG3_5200_7000_7050.out.15,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
107_UCR_Anomaly_NOISEinsectEPG3_5200_7000_7050.out.16,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
107_UCR_Anomaly_NOISEinsectEPG3_5200_7000_7050.out.17,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
107_UCR_Anomaly_NOISEinsectEPG3_5200_7000_7050.out.18,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
107_UCR_Anomaly_NOISEinsectEPG3_5200_7000_7050.out.19,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
107_UCR_Anomaly_NOISEinsectEPG3_5200_7000_7050.out.20,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
107_UCR_Anomaly_NOISEinsectEPG3_5200_7000_7050.out.21,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
107_UCR_Anomaly_NOISEinsectEPG3_5200_7000_7050.out.22,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
107_UCR_Anomaly_NOISEinsectEPG3_5200_7000_7050.out.23,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
107_UCR_Anomaly_NOISEinsectEPG3_5200_7000_7050.out.24,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
107_UCR_Anomaly_NOISEinsectEPG3_5200_7000_7050.out.25,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
107_UCR_Anomaly_NOISEinsectEPG3_5200_7000_7050.out.26,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
107_UCR_Anomaly_NOISEinsectEPG3_5200_7000_7050.out.27,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
107_UCR_Anomaly_NOISEinsectEPG3_5200_7000_7050.out.28,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
107_UCR_Anomaly_NOISEinsectEPG3_5200_7000_7050.out.29,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
107_UCR_Anomaly_NOISEinsectEPG3_5200_7000_7050.out.30,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
107_UCR_Anomaly_NOISEinsectEPG3_5200_7000_7050.out.31,"This is a time series from dataset KDD21, a composite dataset released in a recent SIGKDD 2021 competition with 250 time series. The length of the series is 128. There is no anomaly in this series."
