dataset,filename,label,convnet_128,convnet_128_class,resnet_512,resnet_512_class,rocket_512,rocket_512_class,Oracle,Avg Ens,AE,CNN,HBOS,IFOREST,IFOREST1,LOF,LSTM,MP,NORMA,OCSVM,PCA,POLY,period_length,ratio,nb_anomaly,average_anom_length,median_anom_length,std_anom_length,data_len,point_anom,seq_anom,mixed_anom,type_an
Daphnet,S01R02E0.test.csv@4.out,LOF,0.1929453599504632,NORMA,0.1929453599504632,NORMA,0.2340251475193852,LOF,0.2340251475193852,0.1127961671463866,0.080959396677213,0.0576209849619864,0.0432712965980146,0.055477226775304,0.0546478411020721,0.2340251475193852,0.0551802000411543,0.1455098255045637,0.1929453599504632,0.0517932464341113,0.0471374459241234,0.0553759545841739,70.0,0.053715278,5.0,309.4,256.0,160.9466993,28800.0,0.0,1.0,0.0,sequence
Daphnet,S02R01E0.test.csv@3.out,HBOS,0.4419120304345286,LOF,0.2495539977935456,NORMA,0.4419120304345286,LOF,0.5190225797669709,0.589855433877502,0.1249806907569731,0.1298550474751864,0.5190225797669709,0.4489051398005723,0.2210628247064738,0.4419120304345286,0.1315448378171609,0.1658265340325126,0.2495539977935456,0.1602395042549367,0.4935636068941438,0.3314429300811115,57.0,0.138164063,9.0,393.0,440.0,304.5437389,25600.0,0.0,1.0,0.0,sequence
Daphnet,S03R01E1.test.csv@2.out,POLY,0.1315626198410799,NORMA,0.1315626198410799,NORMA,0.1125543184056658,LOF,0.4936587950482541,0.2568723766063088,0.2276023131542357,0.1645113681679805,0.4372859069299644,0.4864547878855751,0.4439384828731653,0.1125543184056658,0.1771723036342643,0.1333080303766058,0.1315626198410799,0.2348840426684414,0.461290144382233,0.4936587950482541,14.0,0.219893973,23.0,342.6521739,314.0,212.7573855,35840.0,0.0,1.0,0.0,sequence
Daphnet,S03R01E1.test.csv@4.out,POLY,0.5351597033508853,POLY,0.1319958909758191,NORMA,0.248819840926298,LOF,0.5351597033508853,0.2753702458570305,0.1503016851696982,0.163387164961939,0.4755057793077978,0.5214697217587833,0.4721207958376478,0.248819840926298,0.169935727771658,0.1330029035636517,0.1319958909758191,0.2242864880814389,0.4404062263810331,0.5351597033508853,14.0,0.219893973,23.0,342.6521739,314.0,212.7573855,35840.0,0.0,1.0,0.0,sequence
Daphnet,S03R01E1.test.csv@7.out,POLY,0.5699875209992895,POLY,0.131141252418908,NORMA,0.2761045899779708,LOF,0.5699875209992895,0.2342680540056414,0.141444234004345,0.1565012250253787,0.4393572994025131,0.5157149874269102,0.4268430157785701,0.2761045899779708,0.1627892831135604,0.1317684086408138,0.131141252418908,0.2140763673297651,0.4517189169972992,0.5699875209992895,14.0,0.219893973,23.0,342.6521739,314.0,212.7573855,35840.0,0.0,1.0,0.0,sequence
Daphnet,S03R02E0.test.csv@1.out,HBOS,0.5111730244512444,IFOREST,0.6286005977026476,HBOS,0.4909239982263261,LOF,0.6286005977026476,0.5178722149734483,0.0904310911446504,0.10653304464418,0.6286005977026476,0.5111730244512444,0.3710102240936894,0.4909239982263261,0.1032423802455886,0.0948778546118166,0.1001557380811946,0.2557914068582086,0.5512421047298451,0.446812171610957,17.0,0.138581731,6.0,384.3333333,418.0,235.88533,16640.0,0.0,1.0,0.0,sequence
Daphnet,S03R03E4.test.csv@2.out,HBOS,0.1388192232007585,IFOREST,0.018299326572159,NORMA,0.0701032446922616,LOF,0.251947274720473,0.3375020454556054,0.0232550911943053,0.0223234320942098,0.251947274720473,0.1388192232007585,0.0832794323498517,0.0701032446922616,0.0261583929686857,0.0205860824445636,0.018299326572159,0.0257881353596906,0.1140618450118433,0.1060135238287499,70.0,0.027916667,1.0,268.0,268.0,0.0,9600.0,0.0,1.0,0.0,sequence
Daphnet,S03R03E4.test.csv@3.out,LOF,0.2540933977886445,LOF,0.0303446012303916,NORMA,0.2540933977886445,LOF,0.2540933977886445,0.1990021617383688,0.0202671208066367,0.023806128497977,0.2419506012060951,0.1492561408087802,0.0821563956438483,0.2540933977886445,0.0247901572271706,0.0238304544774703,0.0303446012303916,0.0188055302756017,0.0528411338469674,0.0728426495188716,70.0,0.027916667,1.0,268.0,268.0,0.0,9600.0,0.0,1.0,0.0,sequence
Daphnet,S03R03E4.test.csv@6.out,POLY,0.1135771221570033,POLY,0.0419074270115852,LOF,0.0419074270115852,LOF,0.1135771221570033,0.0370964856581071,0.0172895501089493,0.0192883200173897,0.0631948565173689,0.0823838039408268,0.0549763513851964,0.0419074270115852,0.0213100638857611,0.0160424279236497,0.0155944898121247,0.0364724838164874,0.0494388325049041,0.1135771221570033,70.0,0.027916667,1.0,268.0,268.0,0.0,9600.0,0.0,1.0,0.0,sequence
Daphnet,S08R01E0.test.csv@4.out,MP,0.2330754084545863,LOF,0.3060533361654031,NORMA,0.2330754084545863,LOF,0.3661708398624681,0.1887524964618739,0.1943194609389853,0.166345212132561,0.1094011519094091,0.1243876241234464,0.1298908276602575,0.2330754084545863,0.1410183918400509,0.3661708398624681,0.3060533361654031,0.1756486684246279,0.1256349731485004,0.1543091239904128,65.0,0.15,2.0,1104.0,1104.0,267.0,14720.0,0.0,1.0,0.0,sequence
Daphnet,S09R01E0.test.csv@5.out,LOF,0.105175706847694,LOF,0.0945466510508787,NORMA,0.105175706847694,LOF,0.105175706847694,0.1382110293719222,0.0580073867539312,0.0382389815933361,0.0432423732086822,0.0385795793881319,0.0363318397910106,0.105175706847694,0.0370950088319695,0.0889502725992226,0.0945466510508787,0.038489211515379,0.0297202096928461,0.0304423088156263,72.0,0.033645833,4.0,80.75,83.5,28.57774484,9600.0,0.0,1.0,0.0,sequence
Daphnet,S09R01E2.test.csv@8.out,LOF,0.3943950497982066,POLY,0.384652412041009,PCA,0.60712322408274,LOF,0.60712322408274,0.2667410066785901,0.1327234660531978,0.153371989667794,0.4512725870007963,0.3958894458089564,0.4108733007027915,0.60712322408274,0.1532455167066644,0.1273896848027331,0.1248060419466917,0.1539956629455905,0.384652412041009,0.3943950497982066,61.0,0.206903409,5.0,1456.6,1638.0,726.6706544,35200.0,0.0,1.0,0.0,sequence
Daphnet,S09R01E4.test.csv@3.out,LOF,0.2540933977886445,LOF,0.0288357183615357,NORMA,0.2540933977886445,LOF,0.2540933977886445,0.2132593598067757,0.0184411666404036,0.0234526584785642,0.2419506012060951,0.1754115018874772,0.0851278317205568,0.2540933977886445,0.0242521819673782,0.0238304544774703,0.0288357183615357,0.0188055302756017,0.0528411338469674,0.0728426495188716,67.0,0.027916667,1.0,268.0,268.0,0.0,9600.0,0.0,1.0,0.0,sequence
ECG,MBA_ECG14046_data_0.out,NORMA,0.1829092480081348,MP,0.8160410475894276,NORMA,0.7747265512604675,HBOS,0.8160410475894276,0.8008679659172554,0.5286193437268498,0.2298584178130417,0.7747265512604675,0.6819907166608418,0.3285550578791244,0.1225616604939806,0.2460732506877238,0.1829092480081348,0.8160410475894276,0.5279144300961842,0.6368204888350867,0.4797450651737329,,,,,,,,,,,
ECG,MBA_ECG14046_data_12.out,PCA,0.5019826008109971,NORMA,0.5019826008109971,NORMA,0.5280076028980862,HBOS,0.5322469459292509,0.4844686224678635,0.0857624939365606,0.0545926193684291,0.5280076028980862,0.4861577419863534,0.2656906955417482,0.1139947797251607,0.0794445086416874,0.1104818507093313,0.5019826008109971,0.2353583960722708,0.5322469459292509,0.4042474468230962,,,,,,,,,,,
ECG,MBA_ECG14046_data_16.out,NORMA,0.6186860630078846,PCA,0.7910805430452849,NORMA,0.5854100292727722,HBOS,0.7910805430452849,0.6614989046228703,0.1131810276895508,0.0979347910281228,0.5854100292727722,0.5417416034476965,0.2945055856236414,0.0861910545561578,0.0799906884490569,0.0919366146857704,0.7910805430452849,0.2801807891760625,0.6186860630078846,0.4573109047004484,,,,,,,,,,,
ECG,MBA_ECG14046_data_17.out,NORMA,0.6744874065017017,NORMA,0.6744874065017017,NORMA,0.0576813679871555,LOF,0.6744874065017017,0.5651377697853358,0.2099166278900326,0.0671590703953974,0.1700141164049905,0.5046005402115374,0.2698174004741485,0.0576813679871555,0.0607199378082377,0.0742426482200288,0.6744874065017017,0.3184414266106703,0.5741834167413095,0.4276195842904887,,,,,,,,,,,
ECG,MBA_ECG14046_data_19.out,NORMA,0.8027616791171113,NORMA,0.8027616791171113,NORMA,0.6672022637417436,HBOS,0.8027616791171113,0.7740941874190453,0.1694217248099919,0.0905460909076372,0.6672022637417436,0.587744787355272,0.2700884630325862,0.1240312718617325,0.1119002043336925,0.1806499562684,0.8027616791171113,0.3223832296439805,0.5702483632669653,0.4259375062482496,,,,,,,,,,,
ECG,MBA_ECG14046_data_21.out,NORMA,0.8170259235382701,NORMA,0.8170259235382701,NORMA,0.4981959684281689,HBOS,0.8170259235382701,0.7953557135949358,0.31894164278538,0.2584156177591588,0.4981959684281689,0.6428235886310958,0.2376485058022391,0.0871242070443959,0.0833340729046648,0.152844744754175,0.8170259235382701,0.4288175463066596,0.5517096559291307,0.4242572954519402,,,,,,,,,,,
